"","featurename","mean"
"1","tBodyAccelerationMeanX",0.274347260646063
"2","tBodyAccelerationMeanY",-0.0177434918458972
"3","tBodyAccelerationMeanZ",-0.108925032737064
"4","tBodyAccelerationStdX",-0.607783818968688
"5","tBodyAccelerationStdY",-0.510191378479501
"6","tBodyAccelerationStdZ",-0.61306429934125
"7","tGravityAccelerationMeanX",0.669226222373046
"8","tGravityAccelerationMeanY",0.00403879092060517
"9","tGravityAccelerationMeanZ",0.0921508600211059
"10","tGravityAccelerationStdX",-0.965207115039421
"11","tGravityAccelerationStdY",-0.95440802665318
"12","tGravityAccelerationStdZ",-0.938900969424022
"13","tBodyAccelerationJerkMeanX",0.0789381220355816
"14","tBodyAccelerationJerkMeanY",0.0079481069090025
"15","tBodyAccelerationJerkMeanZ",-0.00467469823628666
"16","tBodyAccelerationJerkStdX",-0.63978102073413
"17","tBodyAccelerationJerkStdY",-0.607971599340832
"18","tBodyAccelerationJerkStdZ",-0.762820240449202
"19","tBodyGyroMeanX",-0.0309824871713436
"20","tBodyGyroMeanY",-0.0747194855994359
"21","tBodyGyroMeanZ",0.088357304227173
"22","tBodyGyroStdX",-0.721192598029789
"23","tBodyGyroStdY",-0.682653506899942
"24","tBodyGyroStdZ",-0.653665674372188
"25","tBodyGyroJerkMeanX",-0.0967092754729682
"26","tBodyGyroJerkMeanY",-0.0423181079782632
"27","tBodyGyroJerkMeanZ",-0.0548303497968374
"28","tBodyGyroJerkStdX",-0.731348533131935
"29","tBodyGyroJerkStdY",-0.786062320321895
"30","tBodyGyroJerkStdZ",-0.739932395222129
"31","tBodyAccelerationMagMean",-0.54822165976717
"32","tBodyAccelerationMagStd",-0.591225327146546
"33","tGravityAccelerationMagMean",-0.54822165976717
"34","tGravityAccelerationMagStd",-0.591225327146546
"35","tBodyAccelerationJerkMagMean",-0.649417950650692
"36","tBodyAccelerationJerkMagStd",-0.627762945785391
"37","tBodyGyroMagMean",-0.60524856977632
"38","tBodyGyroMagStd",-0.662533062898382
"39","tBodyGyroJerkMagMean",-0.762137610987416
"40","tBodyGyroJerkMagStd",-0.77799317279698
"41","fBodyAccelerationMeanX",-0.622761658493734
"42","fBodyAccelerationMeanY",-0.53749328145871
"43","fBodyAccelerationMeanZ",-0.665033506271952
"44","fBodyAccelerationStdX",-0.603356276555826
"45","fBodyAccelerationStdY",-0.528420009576204
"46","fBodyAccelerationStdZ",-0.617874813333395
"47","fBodyAccelerationMeanFreqX",-0.2214691368263
"48","fBodyAccelerationMeanFreqY",0.015400588735675
"49","fBodyAccelerationMeanFreqZ",0.0473098698476722
"50","fBodyAccelerationJerkMeanX",-0.656713524546605
"51","fBodyAccelerationJerkMeanY",-0.628961179980356
"52","fBodyAccelerationJerkMeanZ",-0.743608246170053
"53","fBodyAccelerationJerkStdX",-0.654979816705833
"54","fBodyAccelerationJerkStdY",-0.612243590244114
"55","fBodyAccelerationJerkStdZ",-0.780928428167213
"56","fBodyAccelerationJerkMeanFreqX",-0.0477062917542325
"57","fBodyAccelerationJerkMeanFreqY",-0.213392904926883
"58","fBodyAccelerationJerkMeanFreqZ",-0.123828014584147
"59","fBodyGyroMeanX",-0.672094306818974
"60","fBodyGyroMeanY",-0.70621663959074
"61","fBodyGyroMeanZ",-0.644192752866115
"62","fBodyGyroStdX",-0.738594816501343
"63","fBodyGyroStdY",-0.674226934551517
"64","fBodyGyroStdZ",-0.690446312501126
"65","fBodyGyroMeanFreqX",-0.101042702224631
"66","fBodyGyroMeanFreqY",-0.174277577553958
"67","fBodyGyroMeanFreqZ",-0.0513928953203266
"68","fBodyAccelerationMagMean",-0.585962696268539
"69","fBodyAccelerationMagStd",-0.659531216655476
"70","fBodyAccelerationMagMeanFreq",0.0768760112631957
"71","fBodyBodyAccelerationJerkMagMean",-0.620789916331592
"72","fBodyBodyAccelerationJerkMagStd",-0.640076803144351
"73","fBodyBodyAccelerationJerkMagMeanFreq",0.173219742700723
"74","fBodyBodyGyroMagMean",-0.697411069729937
"75","fBodyBodyGyroMagStd",-0.699976372277643
"76","fBodyBodyGyroMagMeanFreq",-0.0415636227771787
"77","fBodyBodyGyroJerkMagMean",-0.779767633083527
"78","fBodyBodyGyroJerkMagStd",-0.792190209274884
"79","fBodyBodyGyroJerkMagMeanFreq",0.126707820497791
